Day,Month,Sunrise,Sunrise.hr.before,Sunrise.hr.after,Sunset,Sunset.hr.before,Sunset.hr.after
1,7,05:31:00,04:31:00,06:31:00,21:59:00,20:59:00,22:59:00
2,7,05:32:00,04:32:00,06:32:00,21:58:00,20:58:00,22:58:00
3,7,05:32:00,04:32:00,06:32:00,21:58:00,20:58:00,22:58:00
4,7,05:33:00,04:33:00,06:33:00,21:57:00,20:57:00,22:57:00
5,7,05:34:00,04:34:00,06:34:00,21:57:00,20:57:00,22:57:00
6,7,05:35:00,04:35:00,06:35:00,21:56:00,20:56:00,22:56:00
7,7,05:36:00,04:36:00,06:36:00,21:56:00,20:56:00,22:56:00
8,7,05:37:00,04:37:00,06:37:00,21:55:00,20:55:00,22:55:00
9,7,05:38:00,04:38:00,06:38:00,21:54:00,20:54:00,22:54:00
10,7,05:39:00,04:39:00,06:39:00,21:53:00,20:53:00,22:53:00
11,7,05:40:00,04:40:00,06:40:00,21:53:00,20:53:00,22:53:00
12,7,05:41:00,04:41:00,06:41:00,21:52:00,20:52:00,22:52:00
13,7,05:42:00,04:42:00,06:42:00,21:51:00,20:51:00,22:51:00
14,7,05:43:00,04:43:00,06:43:00,21:50:00,20:50:00,22:50:00
15,7,05:44:00,04:44:00,06:44:00,21:49:00,20:49:00,22:49:00
16,7,05:45:00,04:45:00,06:45:00,21:48:00,20:48:00,22:48:00
17,7,05:47:00,04:47:00,06:47:00,21:47:00,20:47:00,22:47:00
18,7,05:48:00,04:48:00,06:48:00,21:46:00,20:46:00,22:46:00
19,7,05:49:00,04:49:00,06:49:00,21:45:00,20:45:00,22:45:00
20,7,05:50:00,04:50:00,06:50:00,21:43:00,20:43:00,22:43:00
21,7,05:52:00,04:52:00,06:52:00,21:42:00,20:42:00,22:42:00
22,7,05:53:00,04:53:00,06:53:00,21:41:00,20:41:00,22:41:00
23,7,05:54:00,04:54:00,06:54:00,21:40:00,20:40:00,22:40:00
24,7,05:56:00,04:56:00,06:56:00,21:38:00,20:38:00,22:38:00
25,7,05:57:00,04:57:00,06:57:00,21:37:00,20:37:00,22:37:00
26,7,05:59:00,04:59:00,06:59:00,21:35:00,20:35:00,22:35:00
27,7,06:00:00,05:00:00,07:00:00,21:34:00,20:34:00,22:34:00
28,7,06:01:00,05:01:00,07:01:00,21:32:00,20:32:00,22:32:00
29,7,06:03:00,05:03:00,07:03:00,21:31:00,20:31:00,22:31:00
30,7,06:04:00,05:04:00,07:04:00,21:29:00,20:29:00,22:29:00
31,7,06:06:00,05:06:00,07:06:00,21:28:00,20:28:00,22:28:00
1,8,06:07:00,05:07:00,07:07:00,21:26:00,20:26:00,22:26:00
2,8,06:09:00,05:09:00,07:09:00,21:24:00,20:24:00,22:24:00
3,8,06:10:00,05:10:00,07:10:00,21:23:00,20:23:00,22:23:00
4,8,06:12:00,05:12:00,07:12:00,21:21:00,20:21:00,22:21:00
5,8,06:13:00,05:13:00,07:13:00,21:19:00,20:19:00,22:19:00
6,8,06:15:00,05:15:00,07:15:00,21:18:00,20:18:00,22:18:00
7,8,06:16:00,05:16:00,07:16:00,21:16:00,20:16:00,22:16:00
8,8,06:18:00,05:18:00,07:18:00,21:14:00,20:14:00,22:14:00
9,8,06:19:00,05:19:00,07:19:00,21:12:00,20:12:00,22:12:00
10,8,06:21:00,05:21:00,07:21:00,21:10:00,20:10:00,22:10:00
11,8,06:22:00,05:22:00,07:22:00,21:08:00,20:08:00,22:08:00
12,8,06:24:00,05:24:00,07:24:00,21:07:00,20:07:00,22:07:00
13,8,06:26:00,05:26:00,07:26:00,21:05:00,20:05:00,22:05:00
14,8,06:27:00,05:27:00,07:27:00,21:03:00,20:03:00,22:03:00
15,8,06:29:00,05:29:00,07:29:00,21:01:00,20:01:00,22:01:00
16,8,06:30:00,05:30:00,07:30:00,20:59:00,19:59:00,21:59:00
17,8,06:32:00,05:32:00,07:32:00,20:57:00,19:57:00,21:57:00
18,8,06:33:00,05:33:00,07:33:00,20:55:00,19:55:00,21:55:00
19,8,06:35:00,05:35:00,07:35:00,20:53:00,19:53:00,21:53:00
20,8,06:37:00,05:37:00,07:37:00,20:51:00,19:51:00,21:51:00
21,8,06:38:00,05:38:00,07:38:00,20:49:00,19:49:00,21:49:00
22,8,06:40:00,05:40:00,07:40:00,20:46:00,19:46:00,21:46:00
23,8,06:41:00,05:41:00,07:41:00,20:44:00,19:44:00,21:44:00
24,8,06:43:00,05:43:00,07:43:00,20:42:00,19:42:00,21:42:00
25,8,06:44:00,05:44:00,07:44:00,20:40:00,19:40:00,21:40:00
26,8,06:46:00,05:46:00,07:46:00,20:38:00,19:38:00,21:38:00
27,8,06:47:00,05:47:00,07:47:00,20:36:00,19:36:00,21:36:00
28,8,06:49:00,05:49:00,07:49:00,20:34:00,19:34:00,21:34:00
29,8,06:51:00,05:51:00,07:51:00,20:32:00,19:32:00,21:32:00
30,8,06:52:00,05:52:00,07:52:00,20:29:00,19:29:00,21:29:00
31,8,06:54:00,05:54:00,07:54:00,20:27:00,19:27:00,21:27:00
1,9,06:55:00,05:55:00,07:55:00,20:25:00,19:25:00,21:25:00
2,9,06:57:00,05:57:00,07:57:00,20:23:00,19:23:00,21:23:00
3,9,06:58:00,05:58:00,07:58:00,20:21:00,19:21:00,21:21:00
4,9,07:00:00,06:00:00,08:00:00,20:18:00,19:18:00,21:18:00
5,9,07:02:00,06:02:00,08:02:00,20:16:00,19:16:00,21:16:00
6,9,07:03:00,06:03:00,08:03:00,20:14:00,19:14:00,21:14:00
7,9,07:05:00,06:05:00,08:05:00,20:12:00,19:12:00,21:12:00
8,9,07:06:00,06:06:00,08:06:00,20:09:00,19:09:00,21:09:00
9,9,07:08:00,06:08:00,08:08:00,20:07:00,19:07:00,21:07:00
10,9,07:09:00,06:09:00,08:09:00,20:05:00,19:05:00,21:05:00
11,9,07:11:00,06:11:00,08:11:00,20:03:00,19:03:00,21:03:00
12,9,07:12:00,06:12:00,08:12:00,20:00:00,19:00:00,21:00:00
13,9,07:14:00,06:14:00,08:14:00,19:58:00,18:58:00,20:58:00
14,9,07:16:00,06:16:00,08:16:00,19:56:00,18:56:00,20:56:00
15,9,07:17:00,06:17:00,08:17:00,19:54:00,18:54:00,20:54:00
16,9,07:19:00,06:19:00,08:19:00,19:51:00,18:51:00,20:51:00
17,9,07:20:00,06:20:00,08:20:00,19:49:00,18:49:00,20:49:00
18,9,07:22:00,06:22:00,08:22:00,19:47:00,18:47:00,20:47:00
19,9,07:23:00,06:23:00,08:23:00,19:44:00,18:44:00,20:44:00
20,9,07:25:00,06:25:00,08:25:00,19:42:00,18:42:00,20:42:00
21,9,07:27:00,06:27:00,08:27:00,19:40:00,18:40:00,20:40:00
22,9,07:28:00,06:28:00,08:28:00,19:38:00,18:38:00,20:38:00
23,9,07:30:00,06:30:00,08:30:00,19:35:00,18:35:00,20:35:00
24,9,07:31:00,06:31:00,08:31:00,19:33:00,18:33:00,20:33:00
25,9,07:33:00,06:33:00,08:33:00,19:31:00,18:31:00,20:31:00
26,9,07:34:00,06:34:00,08:34:00,19:28:00,18:28:00,20:28:00
27,9,07:36:00,06:36:00,08:36:00,19:26:00,18:26:00,20:26:00
28,9,07:38:00,06:38:00,08:38:00,19:24:00,18:24:00,20:24:00
29,9,07:39:00,06:39:00,08:39:00,19:22:00,18:22:00,20:22:00
30,9,07:41:00,06:41:00,08:41:00,19:19:00,18:19:00,20:19:00
1,10,07:42:00,06:42:00,08:42:00,19:17:00,18:17:00,20:17:00
2,10,07:44:00,06:44:00,08:44:00,19:15:00,18:15:00,20:15:00
3,10,07:46:00,06:46:00,08:46:00,19:13:00,18:13:00,20:13:00
4,10,07:47:00,06:47:00,08:47:00,19:11:00,18:11:00,20:11:00
5,10,07:49:00,06:49:00,08:49:00,19:08:00,18:08:00,20:08:00
6,10,07:51:00,06:51:00,08:51:00,19:06:00,18:06:00,20:06:00
7,10,07:52:00,06:52:00,08:52:00,19:04:00,18:04:00,20:04:00
8,10,07:54:00,06:54:00,08:54:00,19:02:00,18:02:00,20:02:00
9,10,07:55:00,06:55:00,08:55:00,19:00:00,18:00:00,20:00:00
10,10,07:57:00,06:57:00,08:57:00,18:57:00,17:57:00,19:57:00
11,10,07:59:00,06:59:00,08:59:00,18:55:00,17:55:00,19:55:00
12,10,08:00:00,07:00:00,09:00:00,18:53:00,17:53:00,19:53:00
13,10,08:02:00,07:02:00,09:02:00,18:51:00,17:51:00,19:51:00
14,10,08:04:00,07:04:00,09:04:00,18:49:00,17:49:00,19:49:00
15,10,08:05:00,07:05:00,09:05:00,18:47:00,17:47:00,19:47:00
16,10,08:07:00,07:07:00,09:07:00,18:45:00,17:45:00,19:45:00
17,10,08:09:00,07:09:00,09:09:00,18:43:00,17:43:00,19:43:00
18,10,08:10:00,07:10:00,09:10:00,18:41:00,17:41:00,19:41:00
19,10,08:12:00,07:12:00,09:12:00,18:38:00,17:38:00,19:38:00
20,10,08:14:00,07:14:00,09:14:00,18:36:00,17:36:00,19:36:00
21,10,08:16:00,07:16:00,09:16:00,18:34:00,17:34:00,19:34:00
22,10,08:17:00,07:17:00,09:17:00,18:32:00,17:32:00,19:32:00
23,10,08:19:00,07:19:00,09:19:00,18:30:00,17:30:00,19:30:00
24,10,08:21:00,07:21:00,09:21:00,18:29:00,17:29:00,19:29:00
25,10,08:22:00,07:22:00,09:22:00,18:27:00,17:27:00,19:27:00
26,10,08:24:00,07:24:00,09:24:00,18:25:00,17:25:00,19:25:00
27,10,08:26:00,07:26:00,09:26:00,18:23:00,17:23:00,19:23:00
28,10,08:28:00,07:28:00,09:28:00,18:21:00,17:21:00,19:21:00
29,10,08:29:00,07:29:00,09:29:00,18:19:00,17:19:00,19:19:00
30,10,08:31:00,07:31:00,09:31:00,18:17:00,17:17:00,19:17:00
31,10,08:33:00,07:33:00,09:33:00,18:15:00,17:15:00,19:15:00
1,11,07:35:00,06:35:00,08:35:00,17:14:00,16:14:00,18:14:00
2,11,07:36:00,06:36:00,08:36:00,17:12:00,16:12:00,18:12:00
3,11,07:38:00,06:38:00,08:38:00,17:10:00,16:10:00,18:10:00
4,11,07:40:00,06:40:00,08:40:00,17:09:00,16:09:00,18:09:00
5,11,07:41:00,06:41:00,08:41:00,17:07:00,16:07:00,18:07:00
6,11,07:43:00,06:43:00,08:43:00,17:05:00,16:05:00,18:05:00
7,11,07:45:00,06:45:00,08:45:00,17:04:00,16:04:00,18:04:00
8,11,07:47:00,06:47:00,08:47:00,17:02:00,16:02:00,18:02:00
9,11,07:48:00,06:48:00,08:48:00,17:01:00,16:01:00,18:01:00
10,11,07:50:00,06:50:00,08:50:00,16:59:00,15:59:00,17:59:00
11,11,07:52:00,06:52:00,08:52:00,16:58:00,15:58:00,17:58:00
12,11,07:54:00,06:54:00,08:54:00,16:56:00,15:56:00,17:56:00
13,11,07:55:00,06:55:00,08:55:00,16:55:00,15:55:00,17:55:00
14,11,07:57:00,06:57:00,08:57:00,16:53:00,15:53:00,17:53:00
15,11,07:59:00,06:59:00,08:59:00,16:52:00,15:52:00,17:52:00
16,11,08:00:00,07:00:00,09:00:00,16:51:00,15:51:00,17:51:00
17,11,08:02:00,07:02:00,09:02:00,16:50:00,15:50:00,17:50:00
18,11,08:04:00,07:04:00,09:04:00,16:48:00,15:48:00,17:48:00
19,11,08:05:00,07:05:00,09:05:00,16:47:00,15:47:00,17:47:00
20,11,08:07:00,07:07:00,09:07:00,16:46:00,15:46:00,17:46:00
21,11,08:08:00,07:08:00,09:08:00,16:45:00,15:45:00,17:45:00
22,11,08:10:00,07:10:00,09:10:00,16:44:00,15:44:00,17:44:00
23,11,08:12:00,07:12:00,09:12:00,16:43:00,15:43:00,17:43:00
24,11,08:13:00,07:13:00,09:13:00,16:42:00,15:42:00,17:42:00
25,11,08:15:00,07:15:00,09:15:00,16:41:00,15:41:00,17:41:00
26,11,08:16:00,07:16:00,09:16:00,16:40:00,15:40:00,17:40:00
27,11,08:18:00,07:18:00,09:18:00,16:40:00,15:40:00,17:40:00
28,11,08:19:00,07:19:00,09:19:00,16:39:00,15:39:00,17:39:00
29,11,08:20:00,07:20:00,09:20:00,16:38:00,15:38:00,17:38:00
30,11,08:22:00,07:22:00,09:22:00,16:37:00,15:37:00,17:37:00
1,12,08:23:00,07:23:00,09:23:00,16:37:00,15:37:00,17:37:00
2,12,08:25:00,07:25:00,09:25:00,16:36:00,15:36:00,17:36:00
3,12,08:26:00,07:26:00,09:26:00,16:36:00,15:36:00,17:36:00
4,12,08:27:00,07:27:00,09:27:00,16:35:00,15:35:00,17:35:00
5,12,08:28:00,07:28:00,09:28:00,16:35:00,15:35:00,17:35:00
6,12,08:30:00,07:30:00,09:30:00,16:35:00,15:35:00,17:35:00
7,12,08:31:00,07:31:00,09:31:00,16:34:00,15:34:00,17:34:00
8,12,08:32:00,07:32:00,09:32:00,16:34:00,15:34:00,17:34:00
9,12,08:33:00,07:33:00,09:33:00,16:34:00,15:34:00,17:34:00
10,12,08:34:00,07:34:00,09:34:00,16:34:00,15:34:00,17:34:00
11,12,08:35:00,07:35:00,09:35:00,16:34:00,15:34:00,17:34:00
12,12,08:36:00,07:36:00,09:36:00,16:34:00,15:34:00,17:34:00
13,12,08:37:00,07:37:00,09:37:00,16:34:00,15:34:00,17:34:00
14,12,08:38:00,07:38:00,09:38:00,16:34:00,15:34:00,17:34:00
15,12,08:39:00,07:39:00,09:39:00,16:34:00,15:34:00,17:34:00
16,12,08:39:00,07:39:00,09:39:00,16:34:00,15:34:00,17:34:00
17,12,08:40:00,07:40:00,09:40:00,16:35:00,15:35:00,17:35:00
18,12,08:41:00,07:41:00,09:41:00,16:35:00,15:35:00,17:35:00
19,12,08:41:00,07:41:00,09:41:00,16:35:00,15:35:00,17:35:00
20,12,08:42:00,07:42:00,09:42:00,16:36:00,15:36:00,17:36:00
21,12,08:42:00,07:42:00,09:42:00,16:36:00,15:36:00,17:36:00
22,12,08:43:00,07:43:00,09:43:00,16:37:00,15:37:00,17:37:00
23,12,08:43:00,07:43:00,09:43:00,16:38:00,15:38:00,17:38:00
24,12,08:44:00,07:44:00,09:44:00,16:38:00,15:38:00,17:38:00
25,12,08:44:00,07:44:00,09:44:00,16:39:00,15:39:00,17:39:00
26,12,08:44:00,07:44:00,09:44:00,16:40:00,15:40:00,17:40:00
27,12,08:44:00,07:44:00,09:44:00,16:40:00,15:40:00,17:40:00
28,12,08:44:00,07:44:00,09:44:00,16:41:00,15:41:00,17:41:00
29,12,08:45:00,07:45:00,09:45:00,16:42:00,15:42:00,17:42:00
30,12,08:45:00,07:45:00,09:45:00,16:43:00,15:43:00,17:43:00
31,12,08:45:00,07:45:00,09:45:00,16:44:00,15:44:00,17:44:00