Season,Location2,Underpass.type,average.effort,Total
Autumn,Stewart Creek,Jumpout,10.09090909,106
Winter,Stewart Creek,Jumpout,10.09090909,4
Spring,Stewart Creek,Jumpout,10.09090909,29
Summer,Stewart Creek,Jumpout,10.09090909,112
Winter,Stewart Creek,Underpass,10.18181818,194
Spring,Stewart Creek,Underpass,10.18181818,930
Autumn,Stewart Creek,Underpass,10.18181818,1170
Summer,Stewart Creek,Underpass,10.18181818,4077
Winter,Wind Valley,Underpass,10.58333333,375
Summer,Wind Valley,Underpass,10.58333333,2520
Spring,Wind Valley,Underpass,10.58333333,2101
Autumn,Wind Valley,Underpass,10.58333333,1618
Winter,Dead Man's,Jumpout,9.4,4
Winter,Dead Man's,Jumpout,9.909090909,8
Autumn,Dead Man's,Jumpout,9.4,61
Autumn,Dead Man's,Jumpout,9.909090909,110
Autumn,Dead Man's,Jumpout,11.55555556,18
Summer,Dead Man's,Jumpout,9.4,174
Summer,Dead Man's,Jumpout,9.909090909,201
Summer,Dead Man's,Jumpout,11.55555556,109
Spring,Dead Man's,Jumpout,9.4,111
Spring,Dead Man's,Jumpout,9.909090909,399
Spring,Dead Man's,Jumpout,11.55555556,77