"","Location","Year","Location2","Underpass.type","annual.effort","Agecentred","annual.traffic","annual.human","Total"
"1","Stewart South Jumpout",2008,"Stewart Creek","Jumpout",1,-3.0206810110717,729.884437596302,1,12
"2","Wind Valley Underpass",2009,"Wind Valley","Underpass",4,1.9793189889283,691.519512195122,1.03225806451613,1293
"3","Stewart Creek Underpass",2008,"Stewart Creek","Underpass",5,-3.0206810110717,729.884437596302,1.05479452054795,613
"4","Stewart South Jumpout",2009,"Stewart Creek","Jumpout",2,-3.0206810110717,691.519512195122,1.0625,49
"5","Deadmans Northeast Jumpout",2008,"Dead Man's","Jumpout",1,1.9793189889283,729.884437596302,1.07317073170732,5
"6","Deadmans South Jumpout",2008,"Dead Man's","Jumpout",1,1.9793189889283,729.884437596302,1.07317073170732,8
"7","Wind Valley Underpass",2008,"Wind Valley","Underpass",5,1.9793189889283,729.884437596302,1.09756097560976,840
"8","Stewart Creek Underpass",2009,"Stewart Creek","Underpass",0,-3.0206810110717,691.519512195122,1.24,681
"9","Deadmans Northeast Jumpout",2009,"Dead Man's","Jumpout",0,1.9793189889283,691.519512195122,1.35,59
"10","Deadmans South Jumpout",2009,"Dead Man's","Jumpout",2,1.9793189889283,691.519512195122,1.35,191
"11","Stewart South Jumpout",2010,"Stewart Creek","Jumpout",1,-3.0206810110717,723.847209082308,1.36363636363636,38
"12","Wind Valley Underpass",2018,"Wind Valley","Underpass",12,1.9793189889283,959.057087566522,1.42105263157895,656
"13","Wind Valley Underpass",2010,"Wind Valley","Underpass",1,1.9793189889283,723.847209082308,1.48387096774194,1126
"14","Deadmans Northeast Jumpout",2013,"Dead Man's","Jumpout",10,1.9793189889283,852.46162592382,1.50214592274678,114
"15","Deadmans Northwest Jumpout",2013,"Dead Man's","Jumpout",17,1.9793189889283,852.46162592382,1.50214592274678,22
"16","Deadmans South Jumpout",2013,"Dead Man's","Jumpout",17,1.9793189889283,852.46162592382,1.50214592274678,35
"17","Deadmans Northeast Jumpout",2010,"Dead Man's","Jumpout",2,1.9793189889283,723.847209082308,1.56888888888889,156
"18","Deadmans Northwest Jumpout",2010,"Dead Man's","Jumpout",2,1.9793189889283,723.847209082308,1.56888888888889,30
"19","Deadmans South Jumpout",2010,"Dead Man's","Jumpout",3,1.9793189889283,723.847209082308,1.56888888888889,229
"20","Wind Valley Underpass",2017,"Wind Valley","Underpass",12,1.9793189889283,871.194562899787,1.62857142857143,609
"21","Deadmans Northeast Jumpout",2018,"Dead Man's","Jumpout",11,1.9793189889283,959.057087566522,1.68253968253968,55
"22","Deadmans Northwest Jumpout",2018,"Dead Man's","Jumpout",12,1.9793189889283,959.057087566522,1.68253968253968,72
"23","Deadmans South Jumpout",2018,"Dead Man's","Jumpout",12,1.9793189889283,959.057087566522,1.68253968253968,89
"24","Wind Valley Underpass",2012,"Wind Valley","Underpass",19,1.9793189889283,791.201810436635,1.6875,871
"25","Deadmans Northeast Jumpout",2012,"Dead Man's","Jumpout",16,1.9793189889283,791.201810436635,1.74,157
"26","Deadmans Northwest Jumpout",2012,"Dead Man's","Jumpout",18,1.9793189889283,791.201810436635,1.74,18
"27","Deadmans South Jumpout",2012,"Dead Man's","Jumpout",18,1.9793189889283,791.201810436635,1.74,123
"28","Stewart Creek Underpass",2010,"Stewart Creek","Underpass",1,-3.0206810110717,723.847209082308,1.76923076923077,1459
"29","Wind Valley Underpass",2016,"Wind Valley","Underpass",12,1.9793189889283,892.425752855659,1.77551020408163,701
"30","Stewart Creek Underpass",2012,"Stewart Creek","Underpass",19,-3.0206810110717,791.201810436635,1.77777777777778,893
"31","Stewart Creek Underpass",2017,"Stewart Creek","Underpass",12,-3.0206810110717,871.194562899787,1.8,910
"32","Deadmans Northwest Jumpout",2011,"Dead Man's","Jumpout",3,1.9793189889283,771.693154619435,1.80225988700565,25
"33","Deadmans South Jumpout",2011,"Dead Man's","Jumpout",3,1.9793189889283,771.693154619435,1.80225988700565,202
"34","Deadmans Northeast Jumpout",2011,"Dead Man's","Jumpout",10,1.9793189889283,771.693154619435,1.80225988700565,308
"35","Deadmans Northeast Jumpout",2016,"Dead Man's","Jumpout",11,1.9793189889283,892.425752855659,1.81578947368421,63
"36","Deadmans Northwest Jumpout",2016,"Dead Man's","Jumpout",11,1.9793189889283,892.425752855659,1.81578947368421,9
"37","Deadmans South Jumpout",2016,"Dead Man's","Jumpout",11,1.9793189889283,892.425752855659,1.81578947368421,89
"38","Stewart Creek Underpass",2014,"Stewart Creek","Underpass",15,-3.0206810110717,921.657644476957,1.83870967741935,822
"39","Stewart South Jumpout",2017,"Stewart Creek","Jumpout",11,-3.0206810110717,871.194562899787,1.85714285714286,82
"40","Deadmans Northeast Jumpout",2014,"Dead Man's","Jumpout",9,1.9793189889283,921.657644476957,1.88,124
"41","Deadmans Northwest Jumpout",2014,"Dead Man's","Jumpout",17,1.9793189889283,921.657644476957,1.88,20
"42","Deadmans South Jumpout",2014,"Dead Man's","Jumpout",17,1.9793189889283,921.657644476957,1.88,36
"43","Stewart South Jumpout",2018,"Stewart Creek","Jumpout",12,-3.0206810110717,959.057087566522,1.90909090909091,31
"44","Deadmans Northeast Jumpout",2015,"Dead Man's","Jumpout",13,1.9793189889283,930.89243498818,1.93650793650794,99
"45","Deadmans Northwest Jumpout",2015,"Dead Man's","Jumpout",13,1.9793189889283,930.89243498818,1.93650793650794,6
"46","Deadmans South Jumpout",2015,"Dead Man's","Jumpout",13,1.9793189889283,930.89243498818,1.93650793650794,86
"47","Stewart South Jumpout",2011,"Stewart Creek","Jumpout",8,-3.0206810110717,771.693154619435,1.94117647058824,34
"48","Stewart South Jumpout",2012,"Stewart Creek","Jumpout",18,-3.0206810110717,791.201810436635,1.95454545454545,81
"49","Wind Valley Underpass",2015,"Wind Valley","Underpass",13,1.9793189889283,930.89243498818,1.96875,548
"50","stewart Creek Underpass",2015,"Stewart Creek","Underpass",0,-3.0206810110717,930.89243498818,2,117
"51","Stewart Creek Underpass",2015,"Stewart Creek","Underpass",13,-3.0206810110717,930.89243498818,2,811
"52","Stewart Creek Underpass",2018,"Stewart Creek","Underpass",12,-3.0206810110717,959.057087566522,2,820
"53","Deadmans Northeast Jumpout",2017,"Dead Man's","Jumpout",11,1.9793189889283,871.194562899787,2.02083333333333,108
"54","Deadmans Northwest Jumpout",2017,"Dead Man's","Jumpout",11,1.9793189889283,871.194562899787,2.02083333333333,34
"55","Deadmans South Jumpout",2017,"Dead Man's","Jumpout",12,1.9793189889283,871.194562899787,2.02083333333333,111
"56","Wind Valley Underpass",2014,"Wind Valley","Underpass",18,1.9793189889283,921.657644476957,2.06896551724138,362
"57","Stewart Creek Underpass",2011,"Stewart Creek","Underpass",5,-3.0206810110717,771.693154619435,2.16666666666667,1120
"58","Wind Valley Underpass",2013,"Wind Valley","Underpass",17,1.9793189889283,852.46162592382,2.20588235294118,732
"59","Stewart South Jumpout",2015,"Stewart Creek","Jumpout",13,-3.0206810110717,930.89243498818,2.23076923076923,15
"60","Stewart Creek Underpass",2013,"Stewart Creek","Underpass",17,-3.0206810110717,852.46162592382,2.24,589
"61","Stewart Creek Underpass",2016,"Stewart Creek","Underpass",12,-3.0206810110717,892.425752855659,2.31034482758621,1290
"62","Stewart South Jumpout",2013,"Stewart Creek","Jumpout",17,-3.0206810110717,852.46162592382,2.35714285714286,30
"63","Stewart South Jumpout",2016,"Stewart Creek","Jumpout",11,-3.0206810110717,892.425752855659,2.45454545454545,45
"64","Stewart South Jumpout",2014,"Stewart Creek","Jumpout",17,-3.0206810110717,921.657644476957,2.75,7
"65","Wind Valley Underpass",2011,"Wind Valley","Underpass",13,1.9793189889283,771.693154619435,2.92,1084
