"","Month","Location2","Underpass.type","average.effort","monthly.traffic","monthly.human","Agecentred","Total","Month.sq"
"1",9,"Stewart Creek","Underpass",10.1818181818182,908.563636363636,1.54761904761905,-3.0206810110717,1478,81
"2",7,"Stewart Creek","Jumpout",10.0909090909091,1187.73985826002,1.57142857142857,-3.0206810110717,87,49
"3",4,"Stewart Creek","Underpass",10.1818181818182,713.36994949495,1.58333333333333,-3.0206810110717,515,16
"4",1,"Stewart Creek","Underpass",10.1818181818182,622.940982404692,1.6,-3.0206810110717,80,1
"5",7,"Stewart Creek","Underpass",10.1818181818182,1187.73985826002,1.68421052631579,-3.0206810110717,2233,49
"6",11,"Stewart Creek","Underpass",10.1818181818182,593.156439393939,1.70833333333333,-3.0206810110717,480,121
"7",6,"Stewart Creek","Underpass",10.1818181818182,872.393434343434,1.71428571428571,-3.0206810110717,1503,36
"8",10,"Stewart Creek","Underpass",10.1818181818182,701.422898338221,1.72727272727273,-3.0206810110717,712,100
"9",8,"Stewart Creek","Underpass",10.1818181818182,1218.88758553275,1.72972972972973,-3.0206810110717,1860,64
"10",10,"Stewart Creek","Jumpout",10.0909090909091,701.422898338221,1.73333333333333,-3.0206810110717,39,100
"11",11,"Stewart Creek","Jumpout",10.0909090909091,593.156439393939,1.75,-3.0206810110717,41,121
"12",2,"Stewart Creek","Underpass",10.1818181818182,680.33038585209,1.79310344827586,-3.0206810110717,90,4
"13",1,"Stewart Creek","Jumpout",10.0909090909091,622.940982404692,1.82352941176471,-3.0206810110717,7,1
"14",3,"Stewart Creek","Underpass",10.1818181818182,692.367790811339,1.89655172413793,-3.0206810110717,167,9
"15",12,"Stewart Creek","Underpass",10.1818181818182,656.302688172043,2,-3.0206810110717,77,144
"16",2,"Stewart Creek","Jumpout",10.0909090909091,680.33038585209,2,-3.0206810110717,19,4
"17",3,"Stewart Creek","Jumpout",10.0909090909091,692.367790811339,2,-3.0206810110717,22,9
"18",6,"Stewart Creek","Jumpout",10.0909090909091,872.393434343434,2,-3.0206810110717,100,36
"19",9,"Stewart Creek","Jumpout",10.0909090909091,908.563636363636,2.07142857142857,-3.0206810110717,41,81
"20",12,"Stewart Creek","Jumpout",10.0909090909091,656.302688172043,2.07692307692308,-3.0206810110717,6,144
"21",4,"Stewart Creek","Jumpout",10.0909090909091,713.36994949495,2.15384615384615,-3.0206810110717,2,16
"22",8,"Stewart Creek","Jumpout",10.0909090909091,1218.88758553275,2.85714285714286,-3.0206810110717,21,64
"23",2,"Wind Valley","Underpass",10.5833333333333,680.33038585209,1.38461538461538,1.9793189889283,103,4
"24",1,"Wind Valley","Underpass",10.5833333333333,622.940982404692,1.44444444444444,1.9793189889283,213,1
"25",10,"Dead Man's","Jumpout",9.4,701.422898338221,1.5,1.9793189889283,46,100
"26",10,"Dead Man's","Jumpout",9.90909090909091,701.422898338221,1.5,1.9793189889283,57,100
"27",10,"Dead Man's","Jumpout",11.5555555555556,701.422898338221,1.5,1.9793189889283,7,100
"28",6,"Dead Man's","Jumpout",9.4,872.393434343434,1.50625,1.9793189889283,233,36
"29",6,"Dead Man's","Jumpout",9.90909090909091,872.393434343434,1.50625,1.9793189889283,189,36
"30",6,"Dead Man's","Jumpout",11.5555555555556,872.393434343434,1.50625,1.9793189889283,69,36
"31",4,"Wind Valley","Underpass",10.5833333333333,713.36994949495,1.51515151515152,1.9793189889283,876,16
"32",10,"Wind Valley","Underpass",10.5833333333333,701.422898338221,1.52,1.9793189889283,714,100
"33",7,"Wind Valley","Underpass",10.5833333333333,1187.73985826002,1.54166666666667,1.9793189889283,1131,49
"34",3,"Wind Valley","Underpass",10.5833333333333,692.367790811339,1.56756756756757,1.9793189889283,255,9
"35",11,"Wind Valley","Underpass",10.5833333333333,593.156439393939,1.57142857142857,1.9793189889283,496,121
"36",7,"Dead Man's","Jumpout",9.4,1187.73985826002,1.62244897959184,1.9793189889283,143,49
"37",7,"Dead Man's","Jumpout",9.90909090909091,1187.73985826002,1.62244897959184,1.9793189889283,112,49
"38",7,"Dead Man's","Jumpout",11.5555555555556,1187.73985826002,1.62244897959184,1.9793189889283,44,49
"39",9,"Dead Man's","Jumpout",9.4,908.563636363636,1.64948453608247,1.9793189889283,56,81
"40",9,"Dead Man's","Jumpout",9.90909090909091,908.563636363636,1.64948453608247,1.9793189889283,21,81
"41",9,"Dead Man's","Jumpout",11.5555555555556,908.563636363636,1.64948453608247,1.9793189889283,7,81
"42",6,"Wind Valley","Underpass",10.5833333333333,872.393434343434,1.65714285714286,1.9793189889283,1655,36
"43",8,"Wind Valley","Underpass",10.5833333333333,1218.88758553275,1.66666666666667,1.9793189889283,900,64
"44",4,"Dead Man's","Jumpout",9.4,713.36994949495,1.69230769230769,1.9793189889283,61,16
"45",4,"Dead Man's","Jumpout",9.90909090909091,713.36994949495,1.69230769230769,1.9793189889283,160,16
"46",4,"Dead Man's","Jumpout",11.5555555555556,713.36994949495,1.69230769230769,1.9793189889283,12,16
"47",1,"Dead Man's","Jumpout",9.4,622.940982404692,1.6986301369863,1.9793189889283,143,1
"48",1,"Dead Man's","Jumpout",9.90909090909091,622.940982404692,1.6986301369863,1.9793189889283,4,1
"49",1,"Dead Man's","Jumpout",11.5555555555556,622.940982404692,1.6986301369863,1.9793189889283,0,1
"50",3,"Dead Man's","Jumpout",9.4,692.367790811339,1.69879518072289,1.9793189889283,59,9
"51",3,"Dead Man's","Jumpout",9.90909090909091,692.367790811339,1.69879518072289,1.9793189889283,82,9
"52",3,"Dead Man's","Jumpout",11.5555555555556,692.367790811339,1.69879518072289,1.9793189889283,6,9
"53",12,"Wind Valley","Underpass",10.5833333333333,656.302688172043,1.76,1.9793189889283,240,144
"54",2,"Dead Man's","Jumpout",9.4,680.33038585209,1.7741935483871,1.9793189889283,84,4
"55",2,"Dead Man's","Jumpout",9.90909090909091,680.33038585209,1.7741935483871,1.9793189889283,9,4
"56",2,"Dead Man's","Jumpout",11.5555555555556,680.33038585209,1.7741935483871,1.9793189889283,0,4
"57",8,"Dead Man's","Jumpout",9.4,1218.88758553275,1.82608695652174,1.9793189889283,109,64
"58",8,"Dead Man's","Jumpout",9.90909090909091,1218.88758553275,1.82608695652174,1.9793189889283,25,64
"59",8,"Dead Man's","Jumpout",11.5555555555556,1218.88758553275,1.82608695652174,1.9793189889283,17,64
"60",12,"Dead Man's","Jumpout",9.4,656.302688172043,1.84146341463415,1.9793189889283,100,144
"61",12,"Dead Man's","Jumpout",9.90909090909091,656.302688172043,1.84146341463415,1.9793189889283,10,144
"62",12,"Dead Man's","Jumpout",11.5555555555556,656.302688172043,1.84146341463415,1.9793189889283,0,144
"63",11,"Dead Man's","Jumpout",9.4,593.156439393939,1.87628865979381,1.9793189889283,64,121
"64",11,"Dead Man's","Jumpout",9.90909090909091,593.156439393939,1.87628865979381,1.9793189889283,76,121
"65",11,"Dead Man's","Jumpout",11.5555555555556,593.156439393939,1.87628865979381,1.9793189889283,5,121
"66",9,"Wind Valley","Underpass",10.5833333333333,908.563636363636,2.37142857142857,1.9793189889283,793,81
